student_Id,Subject,Marks,College,Year,Class
2011xdv,A1,77,College_A,2011,VIII
2011xdv,A2,52,College_A,2011,VIII
2011xdv,A3,62,College_A,2011,VIII
2011xdv,A4,56,College_A,2011,VIII
2011xdv,A5,90,College_A,2011,VIII
2011jXq,A1,84,College_A,2011,VIII
2011jXq,A2,55,College_A,2011,VIII
2011jXq,A3,93,College_A,2011,VIII
2011jXq,A4,71,College_A,2011,VIII
2011jXq,A5,50,College_A,2011,VIII
2011zHb,A1,92,College_A,2011,VIII
2011zHb,A2,55,College_A,2011,VIII
2011zHb,A3,73,College_A,2011,VIII
2011zHb,A4,59,College_A,2011,VIII
2011zHb,A5,58,College_A,2011,VIII
2011zgJ,A1,64,College_A,2011,VIII
2011zgJ,A2,66,College_A,2011,VIII
2011zgJ,A3,72,College_A,2011,VIII
2011zgJ,A4,77,College_A,2011,VIII
2011zgJ,A5,76,College_A,2011,VIII
2011Tww,A1,92,College_A,2011,VIII
2011Tww,A2,50,College_A,2011,VIII
2011Tww,A3,92,College_A,2011,VIII
2011Tww,A4,50,College_A,2011,VIII
2011Tww,A5,66,College_A,2011,VIII
2011HFO,A1,73,College_A,2011,VIII
2011HFO,A2,66,College_A,2011,VIII
2011HFO,A3,79,College_A,2011,VIII
2011HFO,A4,74,College_A,2011,VIII
2011HFO,A5,71,College_A,2011,VIII
2011mSv,A1,57,College_A,2011,VIII
2011mSv,A2,77,College_A,2011,VIII
2011mSv,A3,57,College_A,2011,VIII
2011mSv,A4,57,College_A,2011,VIII
2011mSv,A5,74,College_A,2011,VIII
2011RJb,A1,62,College_A,2011,VIII
2011RJb,A2,80,College_A,2011,VIII
2011RJb,A3,63,College_A,2011,VIII
2011RJb,A4,73,College_A,2011,VIII
2011RJb,A5,89,College_A,2011,VIII
2011qVH,A1,73,College_A,2011,VIII
2011qVH,A2,88,College_A,2011,VIII
2011qVH,A3,91,College_A,2011,VIII
2011qVH,A4,79,College_A,2011,VIII
2011qVH,A5,82,College_A,2011,VIII
2011WYR,A1,94,College_A,2011,VIII
2011WYR,A2,67,College_A,2011,VIII
2011WYR,A3,71,College_A,2011,VIII
2011WYR,A4,68,College_A,2011,VIII
2011WYR,A5,50,College_A,2011,VIII
2011fgY,A1,72,College_A,2011,VIII
2011fgY,A2,92,College_A,2011,VIII
2011fgY,A3,63,College_A,2011,VIII
2011fgY,A4,86,College_A,2011,VIII
2011fgY,A5,52,College_A,2011,VIII
2011FmW,A1,75,College_A,2011,VIII
2011FmW,A2,78,College_A,2011,VIII
2011FmW,A3,57,College_A,2011,VIII
2011FmW,A4,52,College_A,2011,VIII
2011FmW,A5,54,College_A,2011,VIII
2011PYB,A1,80,College_A,2011,VIII
2011PYB,A2,83,College_A,2011,VIII
2011PYB,A3,89,College_A,2011,VIII
